,Protein families
463789,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
438151,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
194420,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
205439,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
502165,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
11458,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440374,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
222684,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
53947,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
237548,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367371,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106498,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
67389,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
463135,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
93101,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
15719,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440631,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
47768,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
476683,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
423960,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
94403,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
469855,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
183493,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
356179,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
391412,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440889,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
312755,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
499127,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
376227,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
499567,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
354615,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475340,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
101731,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440834,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
458953,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
12412,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
368844,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
105720,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184175,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313346,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
1384,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
44141,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440718,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
194668,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
268115,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
401890,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
301252,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314795,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273276,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
392791,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
262545,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
209255,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
136698,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367671,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
51065,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
116216,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
47967,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23097,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440920,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
236670,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
187628,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
31381,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
182856,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
272027,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
59752,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
204626,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
194360,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
311306,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
137755,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
216711,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
30429,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
101906,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
245056,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
374852,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
346985,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
140465,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273131,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134085,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314637,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367650,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
138687,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275807,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
249052,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
271241,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
476594,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134127,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221334,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
444017,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
150441,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23422,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
203088,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
422850,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
354583,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
86823,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
194044,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
336772,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
75,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
159166,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22966,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
140906,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174449,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174158,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
364089,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
57184,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
204543,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
148637,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
311609,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
20117,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
469196,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
44201,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106978,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409012,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
86421,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
175734,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
380270,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
236850,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
405288,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
216683,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
194976,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
233166,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
466284,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
34415,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
157545,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
29597,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273708,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
138772,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
25011,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
336188,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
236702,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
269410,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
322262,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
87517,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
472807,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
491838,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
240238,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
100501,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
465588,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
468378,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
324358,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275124,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
242374,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
418918,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
262207,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409955,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
90366,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
255618,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
335424,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134693,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
70347,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
70960,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
473127,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
10116,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474334,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
160836,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
358398,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
473561,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23297,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
19996,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
249022,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
266599,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
39229,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
25041,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
440226,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
465563,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
354814,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
270667,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
271297,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
259586,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275962,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
42422,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
500791,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
139543,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
459600,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
358624,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314957,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
57798,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273725,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
212899,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
61014,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
362483,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
443838,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134777,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
479411,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
318247,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
400235,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
32221,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
398575,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474588,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
183088,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
389645,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
358916,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
217230,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
238317,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106546,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
160338,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
95403,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273469,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
40120,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
195071,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273399,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22425,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314399,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
315435,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
203230,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
454176,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
41504,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
93701,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367717,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
75537,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
461363,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
429313,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
101153,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
439898,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
19952,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
312887,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
6149,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
393067,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273426,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184076,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
318575,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
190263,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
79895,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
106053,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
257620,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
479996,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
430173,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
186969,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
99791,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
361010,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
172327,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
172815,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
129852,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
404695,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501705,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
135817,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
44534,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
459988,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
328577,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
135898,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
460967,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
452540,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
329271,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313192,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
430138,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
437678,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
343394,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
183201,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
476962,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275212,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275349,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474859,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
46606,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
139463,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
72628,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
336003,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
394423,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475234,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184840,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
85313,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
6602,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
434048,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
439794,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475960,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
444532,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
325512,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
182568,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
40638,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
188812,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
6333,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
2629,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
143282,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
314165,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
465550,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174011,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
17953,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
152080,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
9563,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174209,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
446837,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
384511,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
259542,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
462867,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
105814,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
32814,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
43406,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
442938,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
362546,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
430883,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
21659,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
273758,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
311044,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
272662,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
441660,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275288,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
153903,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
355029,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
147349,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
143295,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
252831,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
145618,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
474258,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
133621,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
402362,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
313088,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
470820,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
458175,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275469,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184064,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
438593,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
437682,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
144947,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
221259,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
426339,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22739,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
10622,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
138274,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
462965,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
4290,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
271385,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275824,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
184023,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
101414,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
101971,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
162289,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
322175,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
174107,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
52807,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
400977,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
179781,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
22356,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
462766,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
53362,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
246494,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
501006,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
235987,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
150331,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
105883,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
119573,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
378434,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367487,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
240934,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
356929,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
186366,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
227712,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
409041,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
129964,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23310,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
373545,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
42848,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
346905,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
196001,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
130460,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
112,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
393662,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
266209,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
376684,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
499286,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
467233,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
222828,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
464292,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
153883,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
278930,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
23045,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
233029,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
134340,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
233049,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
133893,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
473293,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
369149,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
97007,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
89621,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
160009,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
204730,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
72615,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
306368,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
335215,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
216888,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
302872,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
367220,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
408660,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
241692,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
343391,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
94226,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
241247,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
54719,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
35364,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
427044,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
359510,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
336472,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
189363,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
475145,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
333332,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
352765,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
275078,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
173872,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
